name;iso_country;municipality;icao_code
Holy Family Hospital Heliport;US;Spokane;
Parkway Farm Strip;US;Holmen;
Baptist Medical Center Heliport;US;San Antonio;
Wipline Seaplane Base;US;Inver Grove Hgts;
Big Salmon Heliport;US;Haines;
Kalifornsky Meadows Airport;US;Kenai;
Scotts Airport;US;Salcha;
Anderson Lake Airport;US;Wasilla;
Yentna Bend Strip;US;Willow;
Parker Lake Airport;US;Montana Creek;
Young Creek Airport;US;May Creek;
Victory Airport;US;Victory Bible Camp;
Bradley Lake Hydroelectric Project Airstrip;US;Homer;
Falcon Lake Strip;US;Point Mackenzie;
Huntsville Field;US;Huntsville;
Resort Airport;US;Foley;
Clay County Hospital Heliport;US;Ashland;
Hospital Pad Heliport;US;Evergreen;
Dekalb Regional Medical Center Heliport;US;Fort Payne;
Flomaton Airport;US;Flomaton;
D.W. Mcmillian Memorial Hospital Heliport;US;Brewton;
Gadsden Regl Medical Center Heliport;US;Gadsden;
Brookwood Medical Center Heliport;US;Birmingham;
Wilson Creek Airport;US;Florence;
Northwest Medical Center Springdale Heliport;US;Springdale;
Mission Field-Marotti Memorial Airport;US;Crawfordsville;
Ozarks Community Hospital Heliport;US;Gravette;
Rgnl Medical Center Heliport;US;Jonesboro;
Ami National Park Medical Center Heliport;US;Hot Springs;
Howard Memorial Hospital Heliport;US;Nashville;
Eureka Springs Hospital Heliport;US;Eureka Springs;
Arizona Heart Hospital Heliport;US;Phoenix;
Western Sky Airport;US;Salome;
Flying Bucket Ranch Airport;US;Maricopa;
Castle Well Airport;US;Morristown;
St Joseph's Hospital Heliport;US;Phoenix;
Brewer Airport;US;Brewer;
Warren-Sugarbush Airport;US;Warren;
Triple R Airport;US;Dearborn;
Hinckley Airport;US;Hinckley;
Canadian Lakes Airport;US;Canadian Lakes;
Grandpas' Farm Mendota Airport;US;Mendota;
Cushing Field Ltd Airport;US;Newark;
Coach & Paddock Heliport;US;Clinton;
VA Greater Los Angeles Health Care Center Heliport;US;Los Angeles;
Crawford Airport;US;Santa Ynez;
Shepherd Farm Airport;US;Santa Ynez;
Hoffman Private Airport;US;Santa Ysabel;
Emory Ranch Airport;US;Ocotillo;
Blech Ranch Airport;US;Shandon;
Delta County Memorial Hospital Heliport;US;Delta;
Colorado Plains Medical Center Heliport;US;Fort Morgan;
Foxx Valley Airport;US;Yoder;
Kauffman Heliport;US;Denver;
Pi?on Canyon Airport;US;Model;
Exempla Good Samaritan Heliport;US;Lafayette;
Fox Hole Airport;US;Lafayette;
Prowers Medical Center Heliport;US;Lamar;
Swedish S.W. Medical Heliport;US;Littleton;
Yosemite Hidden Lake Ranch Airport;US;Raymond;
Krey Field Airport;US;Adelanto;
John Nichols Field Airport;US;Jamul;
Glen Fed Heliport;US;Glendale;
The Atrium Heliport;US;Irvine;
Bohunk's Airpark;US;Lancaster;
Good Samaritan Hospital Heliport;US;Los Angeles;
Tera Ultralightport;US;Ridgecrest;
Sce San Jacinto Valley Service Center Heliport;US;Romoland;
Fiorini Ranch Airport;US;Delhi;
Sutter Butte Dusters Airport;US;Live Oak;
Longmont United Hospital Heliport;US;Longmont;
Dave's Airport;US;Louisville;
Crested Butte Airpark;US;Crested Butte;
Geo-Seis Helicopters Heliport;US;Fort Collins;
Flying M & M Ranch Airport;US;Norwood;
Century Helicopters Heliport;US;Fort Collins;
Cartwheel Airport;US;Mead;
Van Treese Airport;US;Monte Vista;
Sharon Hospital Heliport;US;Sharon;
Bristol-Myers Squibb Company Heliport;US;Wallingford;
Windham Hospital Heliport;US;Willimantic;
N B G H Heliport;US;New Britain;
Burke Heliport;US;Prospect;
St Francis Hospital Heliport;US;Hartford;
Middletown Heliport;US;Middletown;
Bridgeport Hospital Heliport;US;Bridgeport;
Danbury Hospital Heliport;US;Danbury;
Hartford Hospital Heliport;US;Hartford;
Ada Airport;US;Ada;
Air Park North;US;Elmira;
Corydon Airport;US;Corydon;
Doral Resort & Country Club Heliport;US;Miami;
Ott's Landing Airport;US;Arcadia;
Doctors Memorial Hospital Heliport;US;Perry;
Brighton Helipad;US;Brighton;
Briley Farm Seaplane Base;US;Oakland;
Immokalee Helipad;US;Immokalee;
The 2A Ranch Airport;US;Ormond Beach;
Panhandle Helicopter LLC Heliport;US;Panama City Beach;
Dolphin Stadium Heliport;US;Miami;
Dugger Field;US;Freeport;
Breezy Knoll Airport;US;Defuniak Springs;
Fulton Seaplane Base;US;Sebastian;
Joy Farms Airport;US;Defuniak Springs;
Harper's Fly-In Ranch Airport;US;Clewiston;
Tampa General Hospital South Helipad;US;Tampa;
Alligator Drink Seaplane Base;US;Geneva;
Old Town Ems Heliport;US;Old Town;
Jackson Heliport;US;Alford;
Lake Conway South Seaplane Base;US;Belle Isle;
Stanchester Airport;US;Lithia;
